dataset,arch,fold,seed,consistency
Benzene,modelGCN,fold0,seed0,0.924832959534461
Benzene,modelGCN,fold4,seed0,-0.6609863613835092
Benzene,modelGCN,fold1,seed0,0.3600535315822493
Benzene,modelGCN,fold3,seed0,0.6059610751774294
Benzene,modelGAT,fold0,seed0,-0.15817802401666517
Benzene,modelGAT,fold1,seed0,-0.4864074181676415
Benzene,modelGAT,fold3,seed0,-0.2517412242428635
Benzene,modelGIN,fold0,seed0,0.9632518221739905
Benzene,modelGIN,fold1,seed0,0.9850602499638327
Benzene,modelGIN,fold3,seed0,0.9819758751032358
hERG,modelGCN,fold4,seed0,-0.3595871447576751
hERG,modelGCN,fold1,seed0,0.7278977489462524
hERG,modelGCN,fold0,seed0,-0.02719986385507854
hERG,modelGCN,fold3,seed0,0.635036824396662
hERG,modelGAT,fold4,seed0,-0.6756036141178707
hERG,modelGAT,fold1,seed0,0.3069304643936033
hERG,modelGAT,fold0,seed0,0.05714694069906825
hERG,modelGAT,fold3,seed0,0.41788882866356525
hERG,modelGIN,fold0,seed0,0.8652953162458221
hERG,modelGIN,fold1,seed0,0.8763209049269215
hERG,modelGIN,fold3,seed0,0.8104828366753281
Mutagenicity,modelGCN,fold4,seed0,0.032343997518917894
Mutagenicity,modelGCN,fold1,seed0,0.2453058139846505
Mutagenicity,modelGCN,fold0,seed0,-0.19645991060528722
Mutagenicity,modelGCN,fold3,seed0,-0.17861680198849555
Mutagenicity,modelGAT,fold1,seed0,0.717640882387381
Mutagenicity,modelGAT,fold0,seed0,0.544520226259949
Mutagenicity,modelGAT,fold3,seed0,-0.10531046099100881
Mutagenicity,modelGIN,fold0,seed0,0.9036769621559736
Mutagenicity,modelGIN,fold3,seed0,0.8075381656422249
Mutagenicity,modelGIN,fold1,seed0,0.8655119203900261
Fluoride_Carbonyl,modelGCN,fold1,seed0,0.14820884048396293
Fluoride_Carbonyl,modelGCN,fold0,seed0,-0.8227332007998877
Fluoride_Carbonyl,modelGCN,fold4,seed0,0.5722719296551445
Fluoride_Carbonyl,modelGCN,fold3,seed0,-0.39814023586444525
Fluoride_Carbonyl,modelGAT,fold1,seed0,0.5851714222880849
Fluoride_Carbonyl,modelGAT,fold0,seed0,0.29066238313715026
Fluoride_Carbonyl,modelGAT,fold3,seed0,0.7245966490494512
Fluoride_Carbonyl,modelGIN,fold0,seed0,0.6974933454838832
Fluoride_Carbonyl,modelGIN,fold3,seed0,0.5522340078172088
Fluoride_Carbonyl,modelGIN,fold1,seed0,0.46602210068418604
Alkane_Carbonyl,modelGAT,fold1,seed0,0.27714815560126244
Alkane_Carbonyl,modelGAT,fold0,seed0,0.469546711841078
Alkane_Carbonyl,modelGAT,fold3,seed0,0.7454414376302761
Alkane_Carbonyl,modelGIN,fold0,seed0,0.40432743401295473
Alkane_Carbonyl,modelGIN,fold1,seed0,0.7128849635100947
Alkane_Carbonyl,modelGIN,fold3,seed0,0.6897501143696877
Alkane_Carbonyl,modelGCN,fold0,seed0,0.8510258554809136
Alkane_Carbonyl,modelGCN,fold4,seed0,-0.32084883748988036
Alkane_Carbonyl,modelGCN,fold1,seed0,0.5516317048030395
Alkane_Carbonyl,modelGCN,fold3,seed0,0.8488934569256776
BBBP,modelGCN,fold4,seed0,0.7882276803102886
BBBP,modelGCN,fold1,seed0,0.7811052519171482
BBBP,modelGCN,fold0,seed0,0.7457279054185713
BBBP,modelGCN,fold3,seed0,0.8318163707725439
BBBP,modelGAT,fold4,seed0,0.24972603290317552
BBBP,modelGAT,fold1,seed0,0.2941653388039862
BBBP,modelGAT,fold0,seed0,0.15815507525254213
BBBP,modelGAT,fold3,seed0,-0.39417715333481107
BBBP,modelGIN,fold1,seed0,0.7890857728336028
BBBP,modelGIN,fold0,seed0,0.8964643556799567
BBBP,modelGIN,fold3,seed0,0.8688660886836245
Lipophilicity,modelGCN,fold4,seed0,0.8316890140949738
Lipophilicity,modelGCN,fold3,seed0,0.22190430386772275
Lipophilicity,modelGAT,fold4,seed0,0.8547973819852561
Lipophilicity,modelGAT,fold3,seed0,0.8261984895884367
Lipophilicity,modelGIN,fold3,seed0,0.9100119426675574
esol,modelGCN,fold4,seed0,-0.0005567916696261055
esol,modelGCN,fold3,seed0,0.2117709732135943
esol,modelGAT,fold4,seed0,0.5158526702492894
esol,modelGAT,fold3,seed0,-0.054106773895377255
esol,modelGIN,fold3,seed0,0.8299312080848976
